date,StockCode,description,units,revenue,avg_price,n_invoices,n_customers
2009-12-13,15036,ASSORTED COLOURS SILK FAN,103.0,79.3,1.1916666666666667,8.0,3.0
2009-12-20,15036,ASSORTED COLOURS SILK FAN,63.0,58.5,1.2257142857142858,9.0,2.0
2009-12-27,15036,ASSORTED COLOURS SILK FAN,103.0,71.5,1.2767857142857142,5.0,1.0
2010-01-03,15036,ASSORTED COLOURS SILK FAN,0.0,0.0,1.3,0.0,0.0
2010-01-10,15036,ASSORTED COLOURS SILK FAN,192.0,124.80000000000001,0.65,4.0,4.0
2010-01-17,15036,ASSORTED COLOURS SILK FAN,30.0,30.860000000000003,1.1909523809523812,9.0,1.0
2010-01-24,15036,ASSORTED COLOURS SILK FAN,118.0,83.0,0.965,10.0,5.0
2010-01-31,15036,ASSORTED COLOURS SILK FAN,59.0,45.28,0.875,7.0,4.0
2010-02-07,15036,ASSORTED COLOURS SILK FAN,36.0,20.520000000000003,0.5985714285714286,2.0,2.0
2010-02-14,15036,ASSORTED COLOURS SILK FAN,98.0,64.96000000000001,0.89,4.0,2.0
2010-02-21,15036,ASSORTED COLOURS SILK FAN,214.0,145.4,0.6799999999999999,6.0,5.0
2010-02-28,15036,ASSORTED COLOURS SILK FAN,103.0,67.47,0.7740476190476191,7.0,5.0
2010-03-07,15036,ASSORTED COLOURS SILK FAN,194.0,178.36,1.0402380952380954,7.0,3.0
2010-03-14,15036,ASSORTED COLOURS SILK FAN,104.0,88.6,1.1664285714285716,6.0,3.0
2010-03-21,15036,ASSORTED COLOURS SILK FAN,747.0,425.04,0.7076190476190476,9.0,7.0
2010-03-28,15036,ASSORTED COLOURS SILK FAN,117.0,87.61,0.7516666666666667,7.0,6.0
2010-04-04,15036,ASSORTED COLOURS SILK FAN,785.0,509.08,0.7669047619047619,9.0,7.0
2010-04-11,15036,ASSORTED COLOURS SILK FAN,232.0,161.72000000000003,0.8089285714285713,9.0,7.0
2010-04-18,15036,ASSORTED COLOURS SILK FAN,96.0,72.0,0.7357142857142858,4.0,4.0
2010-04-25,15036,ASSORTED COLOURS SILK FAN,195.0,154.2,0.8433809523809525,15.0,11.0
2010-05-02,15036,ASSORTED COLOURS SILK FAN,832.0,572.48,0.8840476190476192,11.0,9.0
2010-05-09,15036,ASSORTED COLOURS SILK FAN,468.0,348.96000000000004,0.8290476190476191,13.0,8.0
2010-05-16,15036,ASSORTED COLOURS SILK FAN,1179.0,732.0,0.688952380952381,13.0,11.0
2010-05-23,15036,ASSORTED COLOURS SILK FAN,74.0,56.56,0.9771428571428571,6.0,4.0
2010-05-30,15036,ASSORTED COLOURS SILK FAN,894.0,620.04,0.8032142857142858,14.0,12.0
