StockCode,date,units,horizon_step,prediction,model,fold,origin
15036,2011-05-01,793.0,1,174.0,Naive (last week),1,2011-04-24
15036,2011-05-08,972.0,2,174.0,Naive (last week),1,2011-04-24
15036,2011-05-15,1618.0,3,174.0,Naive (last week),1,2011-04-24
15036,2011-05-22,1643.0,4,174.0,Naive (last week),1,2011-04-24
16014,2011-05-01,10.0,1,3.0,Naive (last week),1,2011-04-24
16014,2011-05-08,2621.0,2,3.0,Naive (last week),1,2011-04-24
16014,2011-05-15,130.0,3,3.0,Naive (last week),1,2011-04-24
16014,2011-05-22,0.0,4,3.0,Naive (last week),1,2011-04-24
17003,2011-05-01,267.0,1,11.0,Naive (last week),1,2011-04-24
17003,2011-05-08,78.0,2,11.0,Naive (last week),1,2011-04-24
17003,2011-05-15,510.0,3,11.0,Naive (last week),1,2011-04-24
17003,2011-05-22,792.0,4,11.0,Naive (last week),1,2011-04-24
20724,2011-05-01,225.0,1,194.0,Naive (last week),1,2011-04-24
20724,2011-05-08,171.0,2,194.0,Naive (last week),1,2011-04-24
20724,2011-05-15,610.0,3,194.0,Naive (last week),1,2011-04-24
20724,2011-05-22,202.0,4,194.0,Naive (last week),1,2011-04-24
20725,2011-05-01,164.0,1,368.0,Naive (last week),1,2011-04-24
20725,2011-05-08,289.0,2,368.0,Naive (last week),1,2011-04-24
20725,2011-05-15,885.0,3,368.0,Naive (last week),1,2011-04-24
20725,2011-05-22,445.0,4,368.0,Naive (last week),1,2011-04-24
20727,2011-05-01,144.0,1,87.0,Naive (last week),1,2011-04-24
20727,2011-05-08,282.0,2,87.0,Naive (last week),1,2011-04-24
20727,2011-05-15,369.0,3,87.0,Naive (last week),1,2011-04-24
20727,2011-05-22,243.0,4,87.0,Naive (last week),1,2011-04-24
21080,2011-05-01,161.0,1,177.0,Naive (last week),1,2011-04-24
21080,2011-05-08,212.0,2,177.0,Naive (last week),1,2011-04-24
21080,2011-05-15,349.0,3,177.0,Naive (last week),1,2011-04-24
21080,2011-05-22,303.0,4,177.0,Naive (last week),1,2011-04-24
21212,2011-05-01,315.0,1,1421.0,Naive (last week),1,2011-04-24
21212,2011-05-08,788.0,2,1421.0,Naive (last week),1,2011-04-24
21212,2011-05-15,1647.0,3,1421.0,Naive (last week),1,2011-04-24
21212,2011-05-22,599.0,4,1421.0,Naive (last week),1,2011-04-24
21213,2011-05-01,152.0,1,1023.0,Naive (last week),1,2011-04-24
21213,2011-05-08,362.0,2,1023.0,Naive (last week),1,2011-04-24
21213,2011-05-15,176.0,3,1023.0,Naive (last week),1,2011-04-24
21213,2011-05-22,82.0,4,1023.0,Naive (last week),1,2011-04-24
21232,2011-05-01,214.0,1,139.0,Naive (last week),1,2011-04-24
21232,2011-05-08,262.0,2,139.0,Naive (last week),1,2011-04-24
21232,2011-05-15,136.0,3,139.0,Naive (last week),1,2011-04-24
21232,2011-05-22,329.0,4,139.0,Naive (last week),1,2011-04-24
21498,2011-05-01,50.0,1,25.0,Naive (last week),1,2011-04-24
21498,2011-05-08,775.0,2,25.0,Naive (last week),1,2011-04-24
21498,2011-05-15,100.0,3,25.0,Naive (last week),1,2011-04-24
21498,2011-05-22,100.0,4,25.0,Naive (last week),1,2011-04-24
21731,2011-05-01,65.0,1,24.0,Naive (last week),1,2011-04-24
21731,2011-05-08,46.0,2,24.0,Naive (last week),1,2011-04-24
21731,2011-05-15,186.0,3,24.0,Naive (last week),1,2011-04-24
21731,2011-05-22,548.0,4,24.0,Naive (last week),1,2011-04-24
21790,2011-05-01,68.0,1,373.0,Naive (last week),1,2011-04-24
21790,2011-05-08,161.0,2,373.0,Naive (last week),1,2011-04-24
21790,2011-05-15,269.0,3,373.0,Naive (last week),1,2011-04-24
21790,2011-05-22,133.0,4,373.0,Naive (last week),1,2011-04-24
21915,2011-05-01,364.0,1,125.0,Naive (last week),1,2011-04-24
21915,2011-05-08,152.0,2,125.0,Naive (last week),1,2011-04-24
21915,2011-05-15,160.0,3,125.0,Naive (last week),1,2011-04-24
21915,2011-05-22,312.0,4,125.0,Naive (last week),1,2011-04-24
21931,2011-05-01,129.0,1,70.0,Naive (last week),1,2011-04-24
21931,2011-05-08,181.0,2,70.0,Naive (last week),1,2011-04-24
21931,2011-05-15,463.0,3,70.0,Naive (last week),1,2011-04-24
21931,2011-05-22,196.0,4,70.0,Naive (last week),1,2011-04-24
21975,2011-05-01,39.0,1,779.0,Naive (last week),1,2011-04-24
21975,2011-05-08,158.0,2,779.0,Naive (last week),1,2011-04-24
21975,2011-05-15,414.0,3,779.0,Naive (last week),1,2011-04-24
21975,2011-05-22,59.0,4,779.0,Naive (last week),1,2011-04-24
21977,2011-05-01,255.0,1,1321.0,Naive (last week),1,2011-04-24
21977,2011-05-08,555.0,2,1321.0,Naive (last week),1,2011-04-24
21977,2011-05-15,498.0,3,1321.0,Naive (last week),1,2011-04-24
21977,2011-05-22,173.0,4,1321.0,Naive (last week),1,2011-04-24
21980,2011-05-01,144.0,1,96.0,Naive (last week),1,2011-04-24
21980,2011-05-08,230.0,2,96.0,Naive (last week),1,2011-04-24
21980,2011-05-15,120.0,3,96.0,Naive (last week),1,2011-04-24
21980,2011-05-22,605.0,4,96.0,Naive (last week),1,2011-04-24
21981,2011-05-01,168.0,1,53.0,Naive (last week),1,2011-04-24
21981,2011-05-08,489.0,2,53.0,Naive (last week),1,2011-04-24
21981,2011-05-15,79.0,3,53.0,Naive (last week),1,2011-04-24
21981,2011-05-22,61.0,4,53.0,Naive (last week),1,2011-04-24
21982,2011-05-01,144.0,1,26.0,Naive (last week),1,2011-04-24
21982,2011-05-08,84.0,2,26.0,Naive (last week),1,2011-04-24
21982,2011-05-15,93.0,3,26.0,Naive (last week),1,2011-04-24
21982,2011-05-22,603.0,4,26.0,Naive (last week),1,2011-04-24
22086,2011-05-01,0.0,1,1.0,Naive (last week),1,2011-04-24
22086,2011-05-08,4.0,2,1.0,Naive (last week),1,2011-04-24
22086,2011-05-15,13.0,3,1.0,Naive (last week),1,2011-04-24
22086,2011-05-22,0.0,4,1.0,Naive (last week),1,2011-04-24
22151,2011-05-01,394.0,1,105.0,Naive (last week),1,2011-04-24
22151,2011-05-08,575.0,2,105.0,Naive (last week),1,2011-04-24
22151,2011-05-15,610.0,3,105.0,Naive (last week),1,2011-04-24
22151,2011-05-22,320.0,4,105.0,Naive (last week),1,2011-04-24
22178,2011-05-01,95.0,1,645.0,Naive (last week),1,2011-04-24
22178,2011-05-08,600.0,2,645.0,Naive (last week),1,2011-04-24
22178,2011-05-15,596.0,3,645.0,Naive (last week),1,2011-04-24
22178,2011-05-22,763.0,4,645.0,Naive (last week),1,2011-04-24
22197,2011-05-01,310.0,1,232.0,Naive (last week),1,2011-04-24
22197,2011-05-08,372.0,2,232.0,Naive (last week),1,2011-04-24
22197,2011-05-15,381.0,3,232.0,Naive (last week),1,2011-04-24
22197,2011-05-22,1300.0,4,232.0,Naive (last week),1,2011-04-24
22355,2011-05-01,179.0,1,279.0,Naive (last week),1,2011-04-24
22355,2011-05-08,173.0,2,279.0,Naive (last week),1,2011-04-24
22355,2011-05-15,578.0,3,279.0,Naive (last week),1,2011-04-24
22355,2011-05-22,247.0,4,279.0,Naive (last week),1,2011-04-24
22386,2011-05-01,282.0,1,155.0,Naive (last week),1,2011-04-24
22386,2011-05-08,154.0,2,155.0,Naive (last week),1,2011-04-24
22386,2011-05-15,401.0,3,155.0,Naive (last week),1,2011-04-24
22386,2011-05-22,179.0,4,155.0,Naive (last week),1,2011-04-24
22411,2011-05-01,162.0,1,235.0,Naive (last week),1,2011-04-24
22411,2011-05-08,169.0,2,235.0,Naive (last week),1,2011-04-24
22411,2011-05-15,525.0,3,235.0,Naive (last week),1,2011-04-24
22411,2011-05-22,404.0,4,235.0,Naive (last week),1,2011-04-24
22423,2011-05-01,325.0,1,186.0,Naive (last week),1,2011-04-24
22423,2011-05-08,171.0,2,186.0,Naive (last week),1,2011-04-24
22423,2011-05-15,366.0,3,186.0,Naive (last week),1,2011-04-24
22423,2011-05-22,307.0,4,186.0,Naive (last week),1,2011-04-24
22469,2011-05-01,0.0,1,30.0,Naive (last week),1,2011-04-24
22469,2011-05-08,0.0,2,30.0,Naive (last week),1,2011-04-24
22469,2011-05-15,0.0,3,30.0,Naive (last week),1,2011-04-24
22469,2011-05-22,783.0,4,30.0,Naive (last week),1,2011-04-24
22492,2011-05-01,180.0,1,800.0,Naive (last week),1,2011-04-24
22492,2011-05-08,216.0,2,800.0,Naive (last week),1,2011-04-24
22492,2011-05-15,795.0,3,800.0,Naive (last week),1,2011-04-24
22492,2011-05-22,469.0,4,800.0,Naive (last week),1,2011-04-24
22616,2011-05-01,216.0,1,93.0,Naive (last week),1,2011-04-24
22616,2011-05-08,128.0,2,93.0,Naive (last week),1,2011-04-24
22616,2011-05-15,130.0,3,93.0,Naive (last week),1,2011-04-24
22616,2011-05-22,1120.0,4,93.0,Naive (last week),1,2011-04-24
22952,2011-05-01,1.0,1,0.0,Naive (last week),1,2011-04-24
22952,2011-05-08,0.0,2,0.0,Naive (last week),1,2011-04-24
22952,2011-05-15,1.0,3,0.0,Naive (last week),1,2011-04-24
22952,2011-05-22,0.0,4,0.0,Naive (last week),1,2011-04-24
23084,2011-05-01,0.0,1,0.0,Naive (last week),1,2011-04-24
23084,2011-05-08,0.0,2,0.0,Naive (last week),1,2011-04-24
23084,2011-05-15,344.0,3,0.0,Naive (last week),1,2011-04-24
23084,2011-05-22,256.0,4,0.0,Naive (last week),1,2011-04-24
23166,2011-05-01,0.0,1,0.0,Naive (last week),1,2011-04-24
23166,2011-05-08,0.0,2,0.0,Naive (last week),1,2011-04-24
23166,2011-05-15,192.0,3,0.0,Naive (last week),1,2011-04-24
