feature,importance
sku,733
week_of_year,481
week_of_month,372
woy_sin,350
woy_cos,316
avg_price_mean_4,250
roll_mean_26,183
n_customers_mean_4,173
mean_nonzero_all,171
roll_std_13,165
roll_std_26,164
last_year_mean_3,148
weeks_to_christmas,147
trend_4_over_13,140
month,138
avg_price_last,138
roll_mean_13,136
roll_std_8,134
n_invoices_mean_4,130
roll_mean_8,113
roll_zero_share_26,109
roll_mean_4,105
lag_52,104
roll_std_4,101
n_customers_ratio_13,98
n_invoices_ratio_13,90
avg_price_ratio_13,82
lag_13,81
month_cos,63
month_sin,61
lag_1,61
n_customers_last,59
n_holidays,53
lag_8,49
lag_2,44
horizon_step,44
roll_zero_share_13,43
lag_3,42
lag_4,39
n_invoices_last,36
roll_zero_share_8,31
quarter,12
roll_zero_share_4,11
